name,min_frames,max_frames,mean_frames,median_frames,threshold_frames,min_lips,max_lips,mean_lips,median_lips,threshold_lips
R_104_13,0.10538736979166667,1.363322482638889,0.5125030894338349,0.42326551649305555,0.7965395355990978,0.0,494.0,57.647887323943664,28.0,148.92815509452478
R_101_403,0.2695182291666667,8.987425130208333,2.296893700703018,0.9082866753472222,4.865674677031061,0.0,1.0,0.5,0.5,1.0
R_101_277,0.09408854166666666,22.13294921875,1.3042604194850291,0.7589724392361111,4.65349630423455,5.0,2966.0,324.4266666666667,128.0,858.6615257148405
R_106_194,3.9175260416666666,14.442682291666667,8.14284292715567,7.158366427951389,11.250344982508466,0.0,39.0,11.571428571428571,2.0,25.922706691284986
R_101_134,0.14571723090277777,48.370146484375,1.361498168089965,0.7352810329861111,5.885552622565486,0.0,1067.0,92.97727272727273,50.5,277.65949225785937
R_104_0,0.20879557291666667,36.90635525173611,1.275169434764688,0.6636729600694444,5.575673719522823,0.0,212.0,25.53125,8.0,66.9035316642274
R_107_449,0.24297526041666667,27.267983940972222,1.3934547726980457,1.2176063368055556,3.67701967383487,3.0,973.0,147.92537313432837,69.0,339.4097018982619
R_106_449,0.162998046875,41.512302517361114,1.010336427895022,0.44836588541666667,5.6593521667553315,0.0,1915.0,152.05194805194805,76.0,402.13260496834675
R_107_225,0.09694227430555556,0.8709505208333334,0.40283087003533136,0.4053493923611111,0.5717748152593873,6.0,1205.0,250.03571428571428,153.0,509.3387612270513
R_104_263,0.7992437065972222,5.047559678819445,2.8725928236721963,2.8968619791666663,3.736755357543598,0.0,208.0,55.388888888888886,24.0,114.08361597449958
R_106_389,0.05001302083333333,27.676920572916668,0.5147130249669314,0.17309787326388887,3.4972783328539467,55.0,525.0,250.54545454545453,208.0,401.84128975603164
R_106_234,0.016856553819444446,49.120319010416665,1.3223460641746556,0.473193359375,7.080109501449453,0.0,667.0,20.12857142857143,4.0,101.09768748588085
R_105_402,0.06573784722222223,2.8932009548611113,1.077380948406339,0.9643663194444444,1.8168028761485755,0.0,225.0,7.911111111111111,4.0,31.486354455887685
R_106_443,0.14778211805555555,57.20512912326389,1.8876966190121882,0.372705078125,10.295777988569668,0.0,1676.0,214.94736842105263,28.0,587.708513008478
R_105_336,0.028174913194444446,49.233318142361114,4.759978875054254,3.226640625,10.713785248748795,0.0,1555.0,393.625,209.5,855.9362959630123
R_10_215,0.8437673611111111,5.526167534722222,2.7438652863865935,2.6813585069444446,3.6965926094063777,0.0,2029.0,100.825,11.0,362.77399829610596
R_10_131,1.0959450954861112,3.586586371527778,2.6904793453839875,2.7749072265625,3.2420313389456883,1.0,2590.0,425.19117647058823,230.5,941.0088670572386
R_103_80,0.5791037326388889,28.880441623263888,2.9761708100244353,2.426574978298611,6.664365105355273,2.0,421.0,104.1,66.5,214.10086363297336
R_104_409,1.0879014756944445,33.423794487847225,4.016467929007698,3.1664930555555557,8.788244258701223,170.0,170.0,170.0,170.0,170.0
R_104_103,0.44111002604166666,28.552242838541666,1.4486730789811642,0.9772493489583334,4.6779804982691715,0.0,462.0,42.30555555555556,15.0,116.3514570268143
R_100_376,0.052501085069444446,2.205788845486111,0.6504625223126955,0.6760378689236111,1.020454150774461,0.0,59.0,6.014925373134329,2.0,17.602995071008475
R_105_348,0.039916449652777776,4.169631076388889,1.7681383654161973,1.8302289496527777,2.913638816013457,0.0,658.0,31.94736842105263,11.0,107.62999778745106
R_10_132,1.2457877604166667,4.972845052083334,2.87221108068442,2.7761414930555555,3.6757681068670784,1.0,1682.0,375.22680412371136,235.0,757.8992436625027
R_10_152,0.9901692708333333,6.80357421875,3.4909670847505665,3.4641064453125,4.747243365451895,0.0,1442.0,195.31958762886597,37.0,495.3820054101976
R_107_200,0.02845486111111111,60.615909288194445,1.4236208924617557,0.07878472222222223,9.174592698740081,0.0,1010.0,102.6734693877551,13.0,308.14161456817413
R_106_361,0.2374945746527778,18.512779947916666,7.478652769536745,5.754772135416666,13.564531957507489,3.0,423.0,114.83333333333333,96.0,229.2214397469325
R_107_357,0.133681640625,25.57337890625,1.746798754647857,1.2180512152777778,5.076611337046176,0.0,1920.0,65.02479338842976,6.0,312.69778036156936
R_10_21,0.9083192274305556,5.934661458333333,2.6079315411603017,2.4231201171875,3.7393714380640803,0.0,1155.0,149.38541666666666,45.0,398.35405465947304
R_105_135,0.03476888020833333,25.538151041666666,2.647139149305556,1.87857421875,6.480926937976551,13.0,7276.0,1410.25,947.0,3002.9133097642552
R_107_224,0.14839301215277778,0.8998470052083334,0.46113413575542006,0.40444444444444444,0.6823994215059439,0.0,1076.0,211.925,117.5,459.28560594807743
R_107_228,0.059908854166666664,29.618248697916666,0.8086489478845164,0.22263671875000002,4.769118206021058,0.0,544.0,100.59615384615384,31.5,243.2175272060162
R_107_201,0.08431857638888889,69.20780056423611,2.6081751598011365,0.33842719184027775,14.282617112258775,1.0,2945.0,358.1904761904762,76.0,970.8018747324741
R_100_235,0.17877387152777777,32.976749131944445,2.1640069615771207,1.2527924262152776,6.668561953944242,0.0,30.0,9.615384615384615,9.0,17.326899098370546
