link,id,parsed
https://youtu.be/9LZ6RrbDznY?si=Sd6wCJ_d39iGkWg-,149,True
https://youtu.be/9TgLtM-UeJM?si=97wCb89SrzLCE-Cc,150,True
https://youtu.be/Kg9PSPatwfA?si=VPEcIFyLQOx1KW_z,151,True
https://youtu.be/qTJePZXLbyc?si=WZOCCWrl0W0u8a8M,152,False
https://youtu.be/0SGpG7m4xzE?si=rOMmCfa_itcRuIVv,153,True
https://youtu.be/S0NFhTnSnYA?si=j5yFXbghqTCWwnv_,154,True
https://youtu.be/I_FbroQqOVA?si=qnK9FnwVZJO4Vkpq,155,False
https://youtu.be/Wv27EAJE_7E?si=fmxrbCmP3eYPBopI,156,True
https://youtu.be/0efYn7D7ioo?si=TSrdyzoZifNzVxKO,157,True
https://youtu.be/yc6vUyVX7Pc?si=Ozfr5EJMKH0zSnmA,158,True
https://youtu.be/zfrzi0MyrQI?si=Tv3N6KuXKnTerUIX,159,True
https://youtu.be/m5cgjEKgabQ?si=XyrdsFhWQM6Ofi6V,160,False
https://youtu.be/bjkAF89aHaY?si=Zzwk2_qKyB0myNGw,161,True
https://youtu.be/t6FxKC5Fz8c?si=o1xg4y5c5L4_SVn-,162,False
https://youtu.be/O9d_lGWI2uY?si=RWxUWenKVgiRQBde,163,True
https://youtu.be/D0RJgDU8jTw?si=FqNq-3JPS2H5rINJ,164,True
https://youtu.be/UreNiGJgP8Q?si=qr7aDZNXo2Q1JO-1,165,True
https://youtu.be/cAsqgAID5SY?si=4dsGe-JJaR47QaC4,166,True
https://youtu.be/cHEUy7hojcE?si=jMBS48XtAklHGx6m,167,False
https://youtu.be/TJe8WTnFdXY?si=e4g_wPVyRBDp_ohy,168,False
https://youtu.be/OcjlynzNdrQ?si=LE6ZnsAqn2Pty6C5,169,True
https://youtu.be/y2l33KDx6ZY?si=capGshYLfMfp5EIk,170,True
https://youtu.be/NVMod3uZTrY?si=T3nmMHoyhP_bUrKX,171,True
https://youtu.be/UfLYoclwtjQ?si=CWaCF_o8OpBFELtz,172,True
https://youtu.be/prfzbNT1y60?si=yXcMZtx3jJO6q6HW,173,False
https://youtu.be/VhIPhH16iPI?si=Vnr1EtA4tIv3qCRh,174,True
https://youtu.be/YbZ5VdcF6kw?si=jCd8eohgZ2e2eClS,175,True
https://youtu.be/cTt18posYRo?si=Q7wWrGupjDi_uYpP,176,True
https://youtu.be/Q4WVhGKfOJA?si=Xop5Fu6yuz2NVmCd,177,True
https://youtu.be/odEcEBE1b0k?si=aZLgUrXEXG1U4vH5,178,False
https://youtu.be/gdya4CKihlA?si=c7WcPHE9SKe_XkR6,179,True
https://youtu.be/YjIH3cptEfI?si=u_bC5d_xi1WLvqmA,180,True
https://youtu.be/xWlX7nLSasU?si=7vdrDykQED71m9IN,181,False
https://youtu.be/1gjXPoLBHlQ?si=LAfFUBTPeFH6tdJD,182,False
https://youtu.be/QhkEEsiaNME?si=4eAF92O8UoLPFQbp,183,False
https://youtu.be/JpNqDsE9Knw?si=WV8h0JmQBKc6aIpg,184,False
https://youtu.be/lENnHsOShLg?si=Fyg5WfKI3Otqlr4z,185,True
https://youtu.be/qX-wr2DeA4Y?si=Ah0J2DdScPbYZKrq,186,True
https://youtu.be/nUTxVqmpSTM?si=m5MJoZWxLfIimD5y,187,True
https://youtu.be/0CFZR83q-2A?si=aRsLbULbyl0vLvXk,188,True
https://youtu.be/17Adp_pRusU?si=vGkiX9oS5T5bPlUp,189,True
https://youtu.be/g-HZalCX-TM?si=BQpbpXRj-oX6RlGF,190,True
https://youtu.be/spmVUg6ffIQ?si=_y5Wj43mRMOgfDLG,191,False
https://youtu.be/3ZUFqA1-UOY?si=XlNzi7DW6eIu3dWO,192,False
